Player,From,To,Years,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,All Star,All NBA,All ABA,All Rookie,All Defensive,AST Champ,Scoring Champ,Most Improved,Sixth Man,DPOY,ROY,AS MVP,CF MVP,Finals MVP,MVP,Championships,NBA 75 Team,ABA All-Time Team,In_Hall_of_fame
Claude Gregory,1986,1988,3,25,5.4,3.9,0.6,45.6,0.0,33.3,45.6,12.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
John Greig,1983,1983,1,9,2.1,0.7,0.0,53.8,23.4,83.3,53.8,19.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kevin Grevey,1976,1985,10,672,11.0,2.4,1.9,43.7,33.4,81.7,44.8,12.9,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Adrian Griffin,2000,2008,9,477,4.0,3.2,1.4,43.8,27.8,76.3,45.2,11.8,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Eddie Griffin,2002,2007,6,303,7.2,5.8,0.8,37.7,31.5,67.1,43.0,14.3,10.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Paul Griffin,1977,1983,7,480,5.1,5.5,2.3,50.5,17.7,69.2,50.5,11.9,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Taylor Griffin,2010,2010,1,8,1.3,0.3,0.1,40.0,0.0,50.0,40.0,5.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Darrell Griffith,1981,1991,11,765,16.2,3.3,2.1,46.3,33.2,70.7,48.7,14.6,22.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Derek Grimm,1998,1998,1,9,1.6,0.4,0.0,28.6,33.3,100.0,42.9,7.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Bob Gross,1976,1983,8,513,8.9,4.4,2.9,51.2,17.9,79.8,51.2,14.7,30.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Anthony Grundy,2006,2006,1,12,4.3,1.4,0.8,50.0,33.3,64.3,56.6,16.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ernie Grunfeld,1978,1986,9,693,7.4,2.6,2.0,47.7,33.7,77.0,48.1,12.7,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pétur Guðmundsson,1982,1989,8,150,4.6,3.8,1.0,49.4,50.0,75.4,49.5,10.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tom Gugliotta,1993,2005,13,763,13.0,7.3,2.8,45.1,28.4,75.7,46.3,15.9,40.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andrés Guibert,1994,1995,2,22,2.7,2.8,0.5,32.8,0.0,64.0,32.8,7.9,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jay Guidinger,1993,1994,2,64,1.5,1.5,0.3,40.2,14.2,60.9,40.2,9.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jorge Gutiérrez,2014,2016,3,47,2.9,1.1,1.5,50.0,17.6,77.8,51.4,10.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A.J. Guyton,2001,2003,3,80,5.5,1.0,1.8,37.7,37.8,82.2,46.0,10.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Hamed Haddadi,2009,2013,5,151,2.2,2.5,0.3,46.3,0.0,63.2,46.3,13.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Scott Haffner,1990,1991,2,50,4.3,1.1,1.8,40.3,13.0,66.7,41.0,8.4,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Glenn Hagan,1982,1982,1,4,1.8,1.0,2.0,42.9,27.9,100.0,42.9,18.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Malik Hairston,2009,2010,2,62,2.4,1.2,0.5,51.2,16.7,51.4,52.0,11.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
P.J. Hairston,2015,2016,2,111,6.0,2.4,0.5,34.3,29.5,81.0,43.1,7.6,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Marcus Haislip,2003,2010,8,89,3.5,1.5,0.2,43.7,35.0,65.9,44.9,10.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jack Haley,1989,1998,10,341,3.5,2.7,0.2,42.5,0.0,65.5,42.5,9.7,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Mike Hall,2007,2007,1,2,1.0,1.0,0.5,25.0,23.4,67.6,25.0,3.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Darvin Ham,1997,2005,9,417,2.7,2.3,0.5,51.8,25.0,49.4,52.0,9.0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Steve Hamer,1997,1997,1,35,2.2,1.7,0.2,52.6,0.0,55.2,52.6,8.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jordan Hamilton,2012,2016,5,151,5.9,2.8,0.8,40.8,35.7,67.0,48.9,13.4,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Richard Hamilton,2000,2013,14,921,17.1,3.1,3.4,44.9,34.6,85.2,46.9,16.5,62.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Roy Hamilton,1980,1981,2,73,4.6,1.5,2.6,40.0,0.0,68.4,40.0,9.1,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tang Hamilton,2002,2002,1,9,2.2,2.0,0.6,52.6,0.0,0.0,52.6,10.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Thomas Hamilton,1996,2000,5,33,3.2,3.4,0.5,40.0,14.2,46.3,40.0,9.9,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Zendon Hamilton,2001,2006,6,134,4.4,3.5,0.2,44.0,17.7,66.0,44.0,14.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Geert Hammink,1994,1996,3,8,1.8,0.9,0.3,40.0,14.2,66.7,40.0,14.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tom Hammonds,1990,2001,12,687,5.3,3.3,0.6,48.0,0.0,69.1,48.0,11.0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Darrin Hancock,1995,1997,3,133,3.5,1.3,0.7,53.0,33.3,57.9,53.2,10.5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ben Handlogten,2004,2005,2,38,4.3,3.2,0.5,52.3,0.0,61.4,52.3,12.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ben Hansbrough,2013,2013,1,28,2.0,0.6,0.8,33.3,26.1,77.8,40.0,7.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tyler Hansbrough,2010,2016,7,428,6.7,4.2,0.4,43.9,13.6,73.8,44.0,14.8,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Bob Hansen,1984,1992,9,575,6.9,2.2,1.6,46.8,32.3,66.2,49.1,10.0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Travis Hansen,2004,2004,1,41,3.0,1.7,0.5,35.4,30.0,81.5,38.8,7.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Reggie Hanson,1998,1998,1,8,0.8,0.8,0.1,50.0,23.4,67.6,50.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
